RV1106G3
Pin,Name,Type,Style,Side,Unit
1,MIPI_AVDD1V8/GPIO7_VCC1V8,power_in,line,right,POWER
2,VI_CIF_CLKO_M0/MIPI_CLK0_OUT/GPIO3_C4_d,bidirectional,line,right,VCCIO7
3,VI_CIF_VSYNC_M0/GPIO3_C5_d,bidirectional,line,right,VCCIO7
4,VI_CIF_D10/PWM7_IR_M2/MIPI_CLK1_OUT/GPIO3_C6_d,bidirectional,line,right,VCCIO7
5,VI_CIF_D11/UART5_TX_M2/I2C4_SCL_M2/GPIO3_C7_d,bidirectional,line,right,VCCIO7
6,VI_CIF_D13/UART5_RTS_M2/I2C3_SCL_M2/GPIO3_D1_d,bidirectional,line,right,VCCIO7
7,VI_CIF_D12/UART5_RX_M2/I2C4_SDA_M2/GPIO3_D0_d,bidirectional,line,right,VCCIO7
8,VI_CIF_D14/UART5_CTS_M2/I2C3_SDA_M2/GPIO3_D2_d,bidirectional,line,right,VCCIO7
9,VI_CIF_D15/PWM1_M2/GPIO3_D3_d,bidirectional,line,right,VCCIO7
10,DVDD_1,power_in,line,right,POWER
11,SDMMC0_DET/GPIO3_A1_u,bidirectional,line,right,VCCIO4
12,SDMMC0_D1/UART2_TX_M0/PWM9_M0/GPIO3_A2_u,bidirectional,line,right,VCCIO4
13,GPIO4_VCC,power_in,line,right,POWER
14,SDMMC0_D0/UART2_RX_M0/PWM8_M0/GPIO3_A3_u,bidirectional,line,right,VCCIO4
15,SDMMC0_CLK/UART5_RTS_M0/I2C0_SCL_M2/JTAG_LPMCU_TCK_M1/PWM10_M0/GPIO3_A4_d,bidirectional,line,right,VCCIO4
16,SDMMC0_CMD/UART5_CTS_M0/I2C0_SDA_M2/JTAG_LPMCU_TMS_M1/PWM11_IR_M0/GPIO3_A5_u,bidirectional,line,right,VCCIO4
17,SDMMC0_D3/UART5_TX_M0/JTAG_CPU_TMS_M0/JTAG_HPMCU_TMS_M1/GPIO3_A6_u,bidirectional,line,right,VCCIO4
18,SDMMC0_D2/UART5_RX_M0/JTAG_CPU_TCK_M0/JTAG_HPMCU_TCK_M1/GPIO3_A7_u,bidirectional,line,right,VCCIO4
19,RTC_AVDD3V3,power_in,line,right,POWER
20,RTC_XOUT,passive,line,right,RTC
21,RTC_XIN,passive,line,right,RTC
22,SARADC_IN1/PWM1_M1/GPI4_C1_z,input,line,right,VCCIO2
